timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1657205970482,1,/Webtours/header.html,200,OK,UC_03 3-30,text,true,,1007,821,9,9,http://localhost:1080/Webtours/header.html,1,0,0
1657205970316,167,Start_Page,200,"Number of samples in transaction : 5, number of failing samples : 0",UC_03 3-30,,true,,6106,4109,9,9,null,151,0,0
1657205970598,34,/cgi-bin/welcome.pl?signOff=1,200,OK,UC_03 3-31,text,true,,1025,1018,9,9,http://localhost:1080/cgi-bin/welcome.pl?signOff=1,33,0,0
1657205970640,69,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-31,text,true,,1751,799,9,9,http://localhost:1080/cgi-bin/nav.pl?in=home,68,0,0
1657205970719,37,/WebTours/home.html,304,Not Modified,UC_03 3-31,,true,,193,306,9,9,http://localhost:1080/WebTours/home.html,0,0,0
1657205966930,3826,Logout,200,"Number of samples in transaction : 3, number of failing samples : 0",UC_03 3-31,,true,,2969,2123,9,9,null,101,0,0
1657205963474,7282,UC_03,200,"Number of samples in transaction : 13, number of failing samples : 0",UC_03 3-31,,true,,12920,9254,9,9,null,386,0,1
1657205974260,32,/cgi-bin/login.pl,200,OK,UC_03 3-30,text,true,,925,1059,9,9,http://localhost:1080/cgi-bin/login.pl,31,0,0
1657205974309,60,/cgi-bin/nav.pl?page=menu&in=home,200,OK,UC_03 3-30,text,true,,1749,981,9,9,http://localhost:1080/cgi-bin/nav.pl?in=home&page=menu,59,0,0
1657205974389,57,/cgi-bin/login.pl?intro=true,200,OK,UC_03 3-30,text,true,,1165,976,9,9,http://localhost:1080/cgi-bin/login.pl?intro=true,56,0,0
1657205970483,3963,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",UC_03 3-30,,true,,3839,3016,9,9,null,146,0,0
1657205977160,1,/Webtours/,200,OK,UC_03 3-29,text,true,,664,798,10,10,http://localhost:1080/Webtours/,1,0,0
1657205977165,29,/cgi-bin/welcome.pl?signOff=true,200,OK,UC_03 3-29,text,true,,1025,804,10,10,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,28,0,0
1657205977194,75,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-29,text,true,,1757,845,10,10,http://localhost:1080/cgi-bin/nav.pl?in=home,73,0,0
1657205977282,34,/WebTours/home.html,200,OK,UC_03 3-29,text,true,,1659,841,10,10,http://localhost:1080/WebTours/home.html,34,0,0
1657205977316,1,/Webtours/header.html,200,OK,UC_03 3-29,text,true,,1007,821,10,10,http://localhost:1080/Webtours/header.html,1,0,0
1657205977159,158,Start_Page,200,"Number of samples in transaction : 5, number of failing samples : 0",UC_03 3-29,,true,,6112,4109,10,10,null,137,0,0
1657205977516,33,/cgi-bin/welcome.pl?signOff=1,200,OK,UC_03 3-30,text,true,,1025,1018,10,10,http://localhost:1080/cgi-bin/welcome.pl?signOff=1,32,0,0
1657205977558,65,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-30,text,true,,1757,799,10,10,http://localhost:1080/cgi-bin/nav.pl?in=home,64,0,0
1657205977633,38,/WebTours/home.html,304,Not Modified,UC_03 3-30,,true,,193,306,10,10,http://localhost:1080/WebTours/home.html,0,0,0
1657205974446,3225,Logout,200,"Number of samples in transaction : 3, number of failing samples : 0",UC_03 3-30,,true,,2975,2123,10,10,null,96,0,0
1657205970316,7355,UC_03,200,"Number of samples in transaction : 13, number of failing samples : 0",UC_03 3-30,,true,,12920,9248,10,10,null,393,0,0
1657205979715,2,/Webtours/,200,OK,UC_02 2-10,text,true,,664,798,1,11,http://localhost:1080/Webtours/,2,0,1
1657205979731,29,/cgi-bin/welcome.pl?signOff=true,200,OK,UC_02 2-10,text,true,,1025,804,1,11,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,28,0,0
1657205979760,78,/cgi-bin/nav.pl?in=home,200,OK,UC_02 2-10,text,true,,1753,845,1,11,http://localhost:1080/cgi-bin/nav.pl?in=home,77,0,0
1657205979841,44,/WebTours/home.html,200,OK,UC_02 2-10,text,true,,1659,841,1,11,http://localhost:1080/WebTours/home.html,44,0,0
1657205979885,1,/Webtours/header.html,200,OK,UC_02 2-10,text,true,,1007,821,1,11,http://localhost:1080/Webtours/header.html,1,0,0
1657205979714,172,Start_Page,200,"Number of samples in transaction : 5, number of failing samples : 0",UC_02 2-10,,true,,6108,4109,1,11,null,152,0,1
1657205980826,30,/cgi-bin/login.pl,200,OK,UC_03 3-29,text,true,,925,1065,10,11,http://localhost:1080/cgi-bin/login.pl,29,0,0
1657205980970,31,/cgi-bin/nav.pl?page=menu&in=home,200,OK,UC_03 3-29,text,true,,1749,981,10,11,http://localhost:1080/cgi-bin/nav.pl?in=home&page=menu,30,0,0
1657205981024,54,/cgi-bin/login.pl?intro=true,200,OK,UC_03 3-29,text,true,,1165,976,10,11,http://localhost:1080/cgi-bin/login.pl?intro=true,52,0,0
1657205977317,3761,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",UC_03 3-29,,true,,3839,3022,10,11,null,111,0,0
1657205983125,34,/cgi-bin/login.pl,200,OK,UC_02 2-10,text,true,,926,1061,1,11,http://localhost:1080/cgi-bin/login.pl,33,0,0
1657205983222,30,/cgi-bin/nav.pl?page=menu&in=home,200,OK,UC_02 2-10,text,true,,1749,982,1,11,http://localhost:1080/cgi-bin/nav.pl?in=home&page=menu,29,0,0
1657205983263,68,/cgi-bin/login.pl?intro=true,200,OK,UC_02 2-10,text,true,,1165,977,1,11,http://localhost:1080/cgi-bin/login.pl?intro=true,67,0,0
1657205979886,3445,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",UC_02 2-10,,true,,3840,3020,1,11,null,129,0,0
1657205984004,2,/Webtours/,200,OK,UC_03 3-28,text,true,,664,798,11,12,http://localhost:1080/Webtours/,2,0,1
